	NUMBER	ENGLISH	CHINESE	POS	STEDT_GLOSS	EVARS	CVARS	CONCEPTICON_ID	CONCEPTICON_GLOSS
923	923	some	一些	clf	some				
924	924	several / few, a	几个	clf	several / few, a (things)||several / few, a (people)||several / few, a	several / few, a (people) (note:+thing) clf||several / few, a (things) (note:+human) clf	几个 ((指几个"东西"))||几个 ((指几个"人"))		
925	925	every day	每天	adv	every day				
926	926	each / every (thing) (note:+human)	每个 ((指每"人"))	clf	each / every (thing)||each / every||each / every (person)	each / every clf||each / every (person) (note:+thing) clf	每个||每个 ((指每个"东西"))		
927	927	double / twice	倍(一~)	clf	double / twice				
928	928	I	我	pron	I			1209	I
929	929	we (two)	我俩	pron	we (two)				
930	930	we	我们	pron	we			1131	WE (INCLUSIVE)
931	931	you	你	pron	you			1215	THOU
932	932	you two	你俩	pron	you two				
933	933	you (pl.)	你们	pron	you (pl.)			1213	YOU
934	934	he	他	pron	he			262	HE OR SHE OR IT
935	935	they two	他俩	pron	they two				
936	936	they	他们	pron	they				
937	937	we (inclusive)	咱们	pron	we (inclusive)				
938	938	we (dual, inclusive)	咱们俩	pron	we (dual, inclusive)				
939	939	we all	大家	pron	we all				
940	940	myself (note:+2nd_person)	自己 (你~)	pron	yourself||himself / herself||oneself||myself	oneself pron||yourself (note:3rd_person) pron||himself / herself (note:1st_person) pron	自己||自己 (他~)||自己 (我~)		
941	941	other person(s)	别人	pron	other persons||other person(s)||other person(s) (lit. 'person home')	other persons (note:+plural) pron||other person(s) (lit. 'person home') (note:"somebody") pron	别人 ((复数))||别人 ("人家")		
942	942	this	这	dem	this			1214	THIS
943	943	these	这些	dem	these (things)||these||these (people)	these (people) (note:+human) dem||these (things) (note:+thing) dem	这些 ((指人))||这些 ((指物))		
944	944	here	这里	dem	here			136	HERE
945	945	this side / here	这边	dem	this side / here				
946	946	thus / this (way) / (like) this	这样	dem	thus / this (way) / (like) this				
947	947	that	那(近指)	dem	that			78	THAT
948	948	that (over yonder)	那(远指)	dem	that (over yonder)				
949	949	those (people) (note:+human)	那些 ((指人))	dem	those (people)||those (things)||those	those dem||those (things) (note:+thing) dem	那些||那些 ((指物))		
950	950	there	那里	dem	there			1937	THERE
951	951	that side / there	那边	dem	that side / there				
952	952	that (way) / (like) that	那样	dem	that (way) / (like) that				
953	953	who	谁	intg	who			1235	WHO
954	954	what	什么	intg	what			1236	WHAT
955	955	where	哪里	intg	where			1237	WHERE
956	956	when	几时	intg	when				
957	957	how	怎么	intg	how				
958	958	how many / how much	多少	intg	how many / how much				
959	959	how many (a small number) (things) (note:+human)	几个(疑问代词) (~(人))	intg	how many (a small number)||how many (a small number) (things)||how many (a small number) (people)	how many (a small number) (people) (note:+thing) intg||how many (a small number) intg	几个(疑问代词) (~(东西))||几个(疑问代词)		
960	960	others / miscellaneous	其他	num	others / miscellaneous				
961	961	respective / individual / each	各自	num	respective / individual / each				
962	962	all / everything	一切	num	all / everything			98	ALL
963	963	all / whole, the	全部	num	all / whole, the				
964	964	big / large	大	adj	big / large			1202	BIG
965	965	small	小	adj	small			1246	SMALL
966	966	wide (in diameter) / coarse (of roasted barley)	粗	adj	wide (in diameter) / coarse (of a rope)||wide (in diameter) / coarse (of roasted barley)||wide (in diameter) / coarse||wide (in diameter) / coarse (of texture)	wide (in diameter) / coarse (of texture) (note:rough) adj||wide (in diameter) / coarse (note:coarse) adj||wide (in diameter) / coarse (of a rope) (note:thick) adj	粗 ((质地粗糙))||粗 (~糌粑)||粗 (~(绳子))		
967	967	thin (in diameter) / fine / tiny (of a rope)	细	adj	thin (in diameter) / fine / tiny (of roasted barley)||thin (in diameter) / fine / tiny (of texture)||thin (in diameter) / fine / tiny||thin (in diameter) / fine / tiny (of a rope)	thin (in diameter) / fine / tiny (of texture) (note:smooth) adj||thin (in diameter) / fine / tiny (note:fine) adj||thin (in diameter) / fine / tiny (of roasted barley) (note:thin) adj	细 ((质地细))||细 (~(糌粑))||细 (~(绳子))		
968	968	high / tall (of trees) (note:tall)	高 ((个子)~)	adj	high / tall (of person's physique)||high / tall||high / tall (of trees)	high / tall (of person's physique) (note:high) adj||high / tall adj	高 ((树)~)||高	1265	HIGH
969	969	low / short (person) (note:short)	低(矮) (人(矮))	adj	low / short||low / short (person)	low / short adj	低(矮)		
970	970	protruding / raised	凸	adj	protruding / raised				
971	971	sunken / dented	凹	adj	sunken / dented				
972	972	long	长	adj	long			1203	LONG
973	973	short	短	adj	short			1645	SHORT
974	974	far / distant	远	adj	far / distant			1406	FAR
975	975	near	近	adj	near			1942	NEAR
976	976	wide / broad (clothing) (note:wide)	宽 ((路)~)	adj	wide / broad||wide / broad (road)||wide / broad (clothing)	wide / broad (road) (note:broad) adj||wide / broad adj	宽 ((衣)~)||宽		
977	977	narrow	窄	adj	narrow			1267	NARROW
978	978	spacious / commodious	宽敞	adj	spacious / commodious				
979	979	cramped / narrow	狭窄	adj	cramped / narrow				
980	980	thick	厚	adj	thick			1244	THICK
981	981	thin	薄	adj	thin				
982	982	deep	深	adj	deep				
983	983	shallow	浅	adj	shallow				
984	984	full	满	adj	full			1429	FULL
985	985	empty	空	adj	empty				
986	986	shrivelled / shrunken	瘪	adj	shrivelled / shrunken				
987	987	many / much	多	adj	many / much			1198	MANY
988	988	few / little	少	adj	few / little				
989	989	square / rectangular (lit. 'four face four corner') (note:"four-face-four-angle")	方 ("四面四角")	adj	square / rectangular||square / rectangular (lit. 'four sides')||square / rectangular (lit. 'four corners')||square / rectangular (lit. 'four face four corner')||square / rectangular (lit. 'four square body')	square / rectangular (lit. 'four sides') (note:"four-angles") adj||square / rectangular (lit. 'four square body') (note:"square-body") adj||square / rectangular adj||square / rectangular (lit. 'four corners') (note:"four-sides") adj	方 ("四角")||方 ("四方体")||方||方 ("四边")		
990	990	circle / circular (planar)	圆 ((圆筒形))	(note:cylindrical)	circle / circular (planar)||circle / circular||circle / circular (spherical)||circle / circular (tubular)	circle / circular (tubular) (note:circular)||circle / circular (spherical) (note:spherical)||circle / circular	圆 ((指平面))||圆 ((球形))||圆	1395	ROUND
991	991	flat / shallow	扁	adj	flat / shallow				
992	992	pointed	尖	adj	pointed				
993	993	bald / bare	秃	adj	bald / bare (mountain)||bald / bare||bald / bare (lit. 'bald mountain package')||bald / bare (tail)||bald / bare (head)	bald / bare (mountain) (note:bare (bald +mountain)) adj||bald / bare (tail) (note:+tail) adj||bald / bare (head) adj||bald / bare (lit. 'bald mountain package') (note:bald) adj	秃 ((山)~)||秃 ((尾)~)||秃 ("秃山包")||秃 ((头~))		
994	994	level / flat	平	adj	level / flat				
995	995	wrinkled / creased	皱	adj	wrinkled / creased				
996	996	right / obverse side	正(~面)	n	right / obverse side (lit. 'outside side')||right / obverse side	right / obverse side (lit. 'outside side') (note:"outside") n	正(~面) ("外面")		
997	997	reverse side	反(~面)	n	reverse side				
998	998	hit sthg on the target	准(打得~)	v	hit sthg on the target				
999	999	slanting / leaning	偏	adj	slanting / leaning				
1000	1000	askew / awry / slanting	歪	adj	askew / awry / slanting				
1001	1001	horizontal	横(~的)	horizontal	horizontal			2376	HORIZONTAL
1002	1002	vertical	竖(~的)	vertical	vertical				
1003	1003	straight	直(~的)	straight	straight (horizontal)||straight||straight (vertical)	straight (vertical) (note:+vertical)||straight (horizontal) (note:+horizontal)	直(~的) (垂~)||直(~的) (平~)	1404	STRAIGHT
1004	1004	curved / crooked /	弯(~的)	bent	curved / crooked / bent				
1005	1005	black (of faces)	黑 ((脸)~)	(note:+face)	black (of faces)||black	black	黑	163	BLACK
1006	1006	white	白	white	white			1335	WHITE
1007	1007	red	红	red	red			156	RED
1008	1008	yellow	黄	yellow	yellow			1424	YELLOW
1009	1009	green	绿	green	green			1425	GREEN
1010	1010	blue	蓝	blue	blue||blue (lit. 'sky color')	blue (lit. 'sky color') (note:"sky-color")	蓝 ("天色")		
1011	1011	grey (deep)	灰(~的) ("鸽子色")	(note:"pigeon-color")	grey (deep)||grey||grey (lit. 'pigeon color')	grey (lit. 'pigeon color') (note:+dark)||grey	灰(~的) (深灰)||灰(~的)		
1012	1012	bright	亮(~的)	bright	bright				
1013	1013	dark	暗	dark	dark			706	DARK
1014	1014	heavy	重	heavy	heavy			1210	HEAVY
1015	1015	light	轻	(weight)	light (weight)			1052	LIGHT (WEIGHT)
1016	1016	quick /	快	fast	quick / fast||quick / fast (body movement)||quick / fast (speed)	quick / fast (body movement) (note:+velocity)||quick / fast (speed) (note:+manner {lit. of actions})	快 ((速度)~)||快 ((动作)~)		
1017	1017	slow (body movement) (note:+manner {lit. of	慢 ((动作)~)	actions})	slow (travel)||slow (body movement)||slow	slow||slow (travel) (note:+velocity)	慢||慢 ((行走)~)		
1018	1018	early	早	early	early			672	EARLY
1019	1019	late	迟	late	late			477	LATE
1020	1020	sharp	锋利	sharp	sharp			1396	SHARP
1021	1021	blunt /	钝	dull	blunt / dull				
1022	1022	clear	清(~的)	(water)	clear (water)				
1023	1023	muddy /	浑浊	turbid	muddy / turbid				
1024	1024	fat	胖	fat	fat||fat (adult)||fat (infant)	fat (infant) (note:+adult)||fat (adult) (note:+infant)	胖 ((成人)~)||胖 ((婴儿)~)		
1025	1025	fat (adult pig)	肥(猪~) ((大猪)~)	(note:+adult_pig)	fat (young pig)||fat (adult pig)||fat (pig)	fat (pig)||fat (young pig) (note:+young_pig)	肥(猪~)||肥(猪~) ((小猪)~)		
1026	1026	thin	瘦	thin	thin				
1027	1027	poor	瘦(地~)	(land)	poor (land)				
1028	1028	dry (inside of	干 ((物体内部)~)	object)	dry (of damp objects: become dry)||dry||dry (inside of object)	dry||dry (of damp objects: become dry) (note:+vegetables | water)	干||干 ((菜,水)~)	1398	DRY
1029	1029	wet	湿	wet	wet			1726	WET
1030	1030	thick	稠(粥~)	(porridge)	thick (porridge)				
1031	1031	watery / thin	稀(粥~)	(porridge)	watery / thin (porridge)				
1032	1032	woven, tightly	密(布~)	(fabric)	woven, tightly (fabric)				
1033	1033	thin	稀(头发~)	(hair)	thin (fabric)||thin (hair)	thin (fabric) (note:+cloth)	稀(头发~) ((布)~)		
1034	1034	hard	硬	hard	hard			1884	HARD
1035	1035	soft	软	soft	soft / spongy / loose||soft	soft / spongy / loose (note:+loose)	软 (松~)	1856	SOFT
1036	1036	sticky /	粘	glutinous	sticky / glutinous				
1037	1037	smooth / glossy /	光滑	sleek	smooth / glossy / sleek			1234	SMOOTH
1038	1038	rough /	粗糙	coarse	rough / coarse				
1039	1039	slippery	滑(路~)	(road)	slippery (road)				
1040	1040	tense / tight /	紧	taut	tense / tight / taut				
1041	1041	lax / loose /	松	slack	lax / loose / slack||lax / fluffy / puffy	lax / fluffy / puffy (note:puffy)	松 (蓬~)		
1042	1042	crisp /	脆	brittle	crisp / brittle				
1043	1043	solid (of objects)	结实 ((身体)~)	(note:+body)	solid (of objects)||solid (of the body)||solid	solid||solid (of the body) (note:+objects)	结实||结实 ((物体)~")		
1044	1044	chaotic / disorderly /	乱	messy	chaotic / disorderly / messy				
1045	1045	right /	对	correct	right / correct			1725	CORRECT (RIGHT)
1046	1046	wrong	错	wrong	wrong				
1047	1047	true	真	true	true (words)||true	true (words) (note:true)	真 ((话)~)		
1048	1048	fake (goods)	假 ((货)~)	(note:fake)	fake (goods)||false (words)||false	false (words) (note:false)||false	假 ((话)~)||假		
1049	1049	uncooked /	生(~的)	raw	uncooked / raw				
1050	1050	new	新	new	new			1231	NEW
1051	1051	used /	旧	old	used / old||used / old (of things)	used / old (of things) (note:"old-things")	旧 ("旧东西")		
1052	1052	good	好	good	good||good (thought)||good (quality of material)	good (quality of material) (note:+thought)||good (thought) (note:+thing)	好 ((思想)~)||好 ((质地)~)	1035	GOOD
1053	1053	bad (things) (note:broken (bad	坏 ((东西)~)	+things))	bad (things)||bad||bad (words)	bad (words) (note:mean (bad +speech))||bad	坏 ((话)~)||坏	1292	BAD
1054	1054	expensive	贵(~价钱)	expensive	expensive				
1055	1055	cheap	便宜	cheap	cheap				
1056	1056	overgrown	老(植物~)	(plant)	overgrown (plant)				
1057	1057	tender young	嫩(植物~)	(plant)	tender young (plant)				
1058	1058	old, elderly	年老	elderly	old / elderly			2112	OLD (AGED)
1059	1059	young	年轻	young	young			1207	YOUNG
1060	1060	beautiful, grow to be	美 ("长得好")	(note:"good-appearance")	beautiful, grow to be||beautiful	beautiful	美		
1061	1061	ugly (looking)	丑 ("不好看")	(note:"bad-looking")	ugly (bad)||ugly (looking)||ugly	ugly||ugly (bad) (note:"bad")	丑||丑 ("不好")		
1062	1062	hot (water)	热 ((水)~)	(note:+water)	hot (weather)||hot||hot (water)	hot||hot (weather) (note:+weather)	热||热 ((天气)~)	1286	HOT
1063	1063	cold (weather,	冷	water)	cold (weather, water)||cold (water)||cold (weather)	cold (weather) (note:+weather)||cold (water) (note:+water)	冷 ((天气)~)||冷 ((水)~)	1287	COLD
1064	1064	lukewarm	温(水~)	(water)	lukewarm (water)				
1065	1065	warm	暖和	warm	warm				
1066	1066	pleasantly cool	凉快	pleasantly	cool, pleasantly				
1067	1067	difficult	难	difficult	difficult				
1068	1068	easy	容易	easy	easy				
1069	1069	fragrant	香(气味~)	(smell)	fragrant (smell)				
1070	1070	stinking /	臭	smelly	stinking / smelly				
1071	1071	savory /	香(味道~)	appetizing	savory / appetizing				
1072	1072	sour	酸	sour	sour				
1073	1073	sweet	甜	sweet	sweet				
1074	1074	bitter	苦	bitter	bitter				
1075	1075	hot /	辣	spicy	hot / spicy				
1076	1076	salty	咸	salty	salty			1091	SALTY
1077	1077	tasteless /	淡(盐~)	insipid	tasteless / insipid				
1078	1078	astringent, like unripe persimmon	涩	astringent	astringent				
1079	1079	fishy-smelling	腥	fishy-smelling	fishy-smelling				
1080	1080	bored	腻 ("做事烦")	(note:"troublesome")	greasy / oily (food)||bored||greasy / oily	greasy / oily||greasy / oily (food) (note:sick_of{food})	腻||腻 ((吃食)~)		
1081	1081	idle / not	闲	busy	idle / not busy				
1082	1082	busy	忙	busy	busy				
1083	1083	rich	富	rich	rich				
1084	1084	poor	穷	poor	poor				
1085	1085	clean	干净	clean	clean				
1086	1086	dirty	脏	dirty	dirty			1230	DIRTY
1087	1087	living (adj.) (animals)	活(~的) ((指植物))	(note:+plants)	living (adj.) (animals)||living (adj.) (plants)||living (adj.)	living (adj.) (plants) (note:+animals)||living (adj.)	活(~的) ((指动物))||活(~的)	1422	BE ALIVE
1088	1088	fresh	新鲜	fresh	fresh				
1089	1089	dead	死(~的)	dead	dead				
1090	1090	clear /	清楚	lucid	clear / lucid				
1091	1091	tasty /	好吃	delicious	tasty / delicious				
1092	1092	pleasant to the	好听	ears	pleasant to the ears				
1093	1093	beautiful / pleasant to the	好看	eyes	beautiful / pleasant to the eyes				
1094	1094	loud	响	loud	loud				
1095	1095	hard /	辛苦	laborious	hard / laborious				
1096	1096	bored	闷	bored	bored				
1097	1097	hurriedly /	急忙	hastily	hurriedly / hastily				
1098	1098	multicolored / patterned	花(~的)	(cloth)	multicolored / patterned (cloth)				
1099	1099	clever	聪明	clever	clever				
1100	1100	stupid	蠢	stupid	stupid (male)||stupid	stupid (male) (note:+male)	蠢 ((男人)~)		
1101	1101	honest /	老实	well-behaved	honest / well-behaved				
1102	1102	sly /	狡猾	cunning	sly / cunning				
1103	1103	careful /	细心	attentive	careful / attentive				
1104	1104	gentle /	和气	amiable	gentle / amiable				
1105	1105	arrogant /	骄傲	conceited	arrogant / conceited				
1106	1106	suitable	合适	suitable	suitable				
1107	1107	fierce /	凶恶	ferocious	fierce / ferocious				
1108	1108	severe / fierce /	厉害	sharp	severe / fierce / sharp||severe / fierce / sharp (potent liquor)||severe / fierce / sharp (temper)	severe / fierce / sharp (temper) (note:"strong-of-wine")||severe / fierce / sharp (potent liquor) (note:+temper)	厉害 ("(酒性)烈")||厉害 ((脾气)~)		
1109	1109	polite /	客气	courteous	polite / courteous				
1110	1110	stingy	吝啬	stingy	stingy				
1111	1111	industrious /	勤快	hardworking	industrious / hardworking				
1112	1112	lazy	懒	lazy	lazy				
1113	1113	clumsy /	笨拙	awkward	clumsy / awkward				
1114	1114	well-behaved / lovable	乖(~孩子)	(child)	well-behaved / lovable (child)				
1115	1115	hardworking / exerting	努力	oneself	hardworking / exerting oneself				
1116	1116	pitiable /	可怜	pitiful	pitiable / pitiful				
1117	1117	happy /	高兴	excited	happy / excited				
1118	1118	blissful	幸福	blissful	blissful				
1119	1119	safe and	平安	sound	safe and sound				
1120	1120	sad	悲哀	sad	sad				
1121	1121	affectionate /	亲热	intimate	affectionate / intimate				
1122	1122	bothersome /	讨厌	disagreeable	bothersome / disagreeable				
1123	1123	alone	单独	alone	alone				
1124	1124	cliffy /	陡峭	precipitous	cliffy / precipitous				
1125	1125	near / close	接近	to	near / close to				
1126	1126	love /	爱	like	love / like (one's child)||love / like	love / like (one's child) (note:+child)	爱 (~(小孩))		
1127	1127	like (to	爱(~吃)	eat)	like (to eat)				
1128	1128	install	安装	install	install				
1129	1129	press (with palm or	按	finger)	press (with palm or finger) (a bell)||press (with palm or finger)	press (with palm or finger) (a bell) (note:+bell)	按 (~(铃))		
1130	1130	decoct (herbal	熬	medicine)	decoct (porridge / conjee)||decoct (herbal medicine)	decoct (porridge / conjee) (note:+medicine)	熬 (~(药))		
1131	1131	thin out (seedlings) (note:thin_out	拔(~草) (间(苗))	+seedlings)	thin out (seedlings)||pull up (weeds)	pull up (weeds)	拔(~草)		
1132	1132	rake (the	耙(~田)	fields)	rake (the fields)				
1133	1133	grasp (with the fingers and thumb of both	掰开	hands)	grasp (with the fingers and thumb of both hands)				
1134	1134	put in order / arrange (things w / out	摆(~整齐) ((摆放的东西无腿儿))	legs)	put in order / arrange (things with legs)||put in order / arrange||put in order / arrange (things w / out legs)	put in order / arrange||put in order / arrange (things with legs)	摆(~整齐)||摆(~整齐) ((摆放的东西有腿儿))		
1135	1135	swing /	摆动	sway	swing / sway				
1136	1136	lose /	败	defeated	lose / defeated				
1137	1137	worship / make obeisance	拜(~菩萨)	to	worship / make obeisance to				
1138	1138	move	搬(~家)	(house)	move (house)				
1139	1139	move (a	搬(~凳子)	stool)	move (a stool)				
1140	1140	help	帮助	help	help				
1141	1141	bind / tie	绑	up	bind / tie up				
1142	1142	wrap	包(~药)	v	wrap				
1143	1143	strip off sticky things (note:pare (peel +fruit))	剥(~花生) (~(瓜果皮))	v	strip off sticky things||shell (peanuts)||shell (melon seeds)	shell (melon seeds) v||shell (peanuts) v	剥(~花生) (~(贴着的东西))||剥(~花生)		
1144	1144	skin (cattle)	剥(~牛皮)	v	skin (cattle)				
1145	1145	peel off (paint)	剥落	vt	peel off (paint)				
1146	1146	secret,	保密	keep	secret, keep				
1147	1147	protect	保护	protect	protect				
1148	1148	eaten one's fill,	饱	have	eaten one's fill, have				
1149	1149	hug / hold in the arms (a child)	抱 (~(孩子))	(note:+child)	hug / hold in the arms||hug / hold in the arms (a child)	hug / hold in the arms	抱		
1150	1150	dig	刨	dig	dig				
1151	1151	carry (a child) on the	背(~孩子)	back)	carry (a child) on the back)				
1152	1152	spout / burst	迸(~出)	forth	spout / burst forth				
1153	1153	force /	逼迫	compel	force / compel				
1154	1154	compare	比 ((助词))	('than'--functor)	compare ('than'--functor)||compare	compare	比		
1155	1155	close (the	闭(~口)	mouth)	close (the mouth)				
1156	1156	plait	编(~辫子)	v	plait				
1157	1157	weave (a	编(~篮子)	basket)	weave (a basket)				
1158	1158	change	变化	change	change				
1159	1159	alter	改变	alter	alter				
1160	1160	ill, to	病	be	ill, to be				
1161	1161	patch	补(~衣)	(clothing)	patch (clothing)				
1162	1162	tinker	补(~锅)	(pans)	tinker (pans)				
1163	1163	wipe (the	擦(~桌子)	table)	wipe (the table)			1454	WIPE
1164	1164	wipe away /	擦掉	erase	wipe away / erase				
1165	1165	guess (a	猜(~谜)	riddle)	guess (a riddle)				
1166	1166	guessed right,	猜中	have	guessed right, have				
1167	1167	cut (cloth)	裁 (~(纸))	(note:+paper)	cut (paper, cloth)||cut (cloth)||cut (paper)	cut (paper) (note:+cloth)||cut (paper, cloth)	裁 (~(衣))||裁		
1168	1168	step on /	踩	tread	step on / tread				
1169	1169	hide	藏(~东西)	(sthg.)	hide (sthg.)			602	HIDE (CONCEAL)
1170	1170	scratch (an itch against	蹭(~痒)	sthg.)	scratch (an itch against sthg.)				
1171	1171	poke (a sign into earth) /	插(~牌子)	insert	poke (a sign into earth) / insert				
1172	1172	transplant (rice	插(~秧)	seedlings)	transplant (rice seedlings)				
1173	1173	audit	查(~帐)	(accounts)	audit (accounts)				
1174	1174	unseam (clothing) (simplex)	拆(~衣服) ((自己)~)	(note:+intr)	unseam (clothing) (simplex)||unseam (clothing)||unseam (clothing) (causative)	unseam (clothing)||unseam (clothing) (causative) (note:+tran)	拆(~衣服)||拆(~衣服) ((使)~)		
1175	1175	pull down (a	拆(~房子)	house)	pull down (a house)				
1176	1176	fall down (a house) /	塌毁	collapse	fall down (a house) / collapse				
1177	1177	support s.b. with one's hand (simplex)	搀扶 ((使)~)	(note:+tran)	support s.b. with one's hand||support s.b. with one's hand (causative)||support s.b. with one's hand (simplex)	support s.b. with one's hand||support s.b. with one's hand (causative) (note:+intr)	搀扶||搀扶 ((自己)~)		
1178	1178	add water	掺(~水) (兑(水))	(note:+add_water)	dilute water||add water||dilute / add water	dilute water (note:+add_water)||dilute / add water	掺(~水) (加(水))||掺(~水)		
1179	1179	wind (thread onto a	缠(~线)	keel)	wind (thread onto a keel)				
1180	1180	want to eat (meat)	馋(~肉)	badly	want to eat (meat) badly				
1181	1181	gluttonous	馋(嘴~)	gluttonous	gluttonous				
1182	1182	taste ('have a look')	尝 ("看一下")	(note:"take-a-look")	taste ('have a look')||taste / try the flavor of	taste / try the flavor of	尝		
1183	1183	repay	偿还	repay	repay				
1184	1184	sing (own songs)	唱 (~(本族歌曲))	(note:+native_songs)	sing||sing (Han songs)||sing (own songs)	sing (Han songs) (note:+Han_songs)||sing	唱 (~(汉族歌曲))||唱	1261	SING
1185	1185	make a row,	吵	racket	make a row, racket||make a row, racket ('yell at each other')	make a row, racket ('yell at each other') (note:"yell-at-each-other")	吵 ("相骂")		
1186	1186	stir-fry	炒	stir-fry	stir-fry||stir-fry (grain)	stir-fry (grain) (note:+vegetables)	炒 (~(菜))		
1187	1187	sink	沉	sink	sink				
1188	1188	weigh	称(~粮食)	(food)	weigh (food)				
1189	1189	commend /	称赞	praise	commend / praise				
1190	1190	prop up /	撑住	support	prop up / support				
1191	1191	open (an	撑(~伞)	umbrella)	open (an umbrella)				
1192	1192	done, be /	成了	accomplished	done, be / accomplished				
1193	1193	accomplish /	完成	succeed	accomplish / succeed				
1194	1194	fill (a bowl with porridge)	盛(~饭) (~(干饭))	(note:+dry_rice)	fill (a bowl with rice)||fill (a bowl with porridge)	fill (a bowl with rice)	盛(~饭)		
1195	1195	hold,	盛得下	can	hold, can				
1196	1196	admit	承认	admit	admit				
1197	1197	clarify / clear	澄清	up	clarify / clear up				
1198	1198	eat	吃	eat	eat (meat, corn, etc.)||eat (rice, etc.)||eat	eat (meat, corn, etc.) (note:+rice)||eat (rice, etc.) (note:-rice (eat +meat | corn | etc.))	吃 (~(米饭等))||吃 (~(肉,玉米等))	1336	EAT
1199	1199	charge / sprint (in the	冲(~在前)	front)	charge / sprint (in the front)				
1200	1200	rinse /	冲(用水~)	flush	rinse / flush||rinse / flush ('sprinkle, splash')	rinse / flush ('sprinkle, splash') (note:"spill")	冲(用水~) ("泼")		
1201	1201	pestle / pound	舂	v	pestle / pound				
1202	1202	take out (from in between, a part from a	抽(~出)	whole)	take out (from in between, a part from a whole)				
1203	1203	smoke (a cigarette)	抽(~烟)	v	smoke (a cigarette)||smoke (an opium cigarette)	smoke (an opium cigarette) (note:+cigarette) v	抽(~烟) (~(纸烟))		
1204	1204	whip /	抽打	thrash	whip / thrash				
1205	1205	produce	出产	produce	produce				
1206	1206	go	出去	out	go out (past)||go out (future)||go out	go out (past) (note:+future)||go out (future) (note:+past)	出去 ((将来时))||出去 ((过去时))		
1207	1207	come out (the	出(~太阳)	sun)	come out (the sun)				
1208	1208	come out (future)	出来 ((将来时))	(note:+past)	come out (past)||come out||come out (future)	come out (past) (note:+future)||come out	出来 ((过去时))||出来		
1209	1209	withdraw / take	取出	out	withdraw / take out				
1210	1210	hoe up	锄(~草)	(weeds)	hoe up (weeds)				
1211	1211	wear (a	穿(~衣)	garment)	wear (a garment)				
1212	1212	put on	穿(~鞋)	(shoes)	put on (shoes)				
1213	1213	thread (a	穿(~针)	needle)	thread (a needle)				
1214	1214	puncture	穿孔(胃~)	(sthg.)	puncture (sthg.)				
1215	1215	punch a hole /	穿孔(用针~)	perforate	punch a hole / perforate				
1216	1216	hand down (to	传(~给下代)	posterity)	hand down (to posterity)				
1217	1217	infect	传染	infect	infect				
1218	1218	blow (the	吹(~喇叭)	trumpet)	blow (the trumpet)				
1219	1219	blow away (a speck of	吹(~灰)	dust)	blow away (a speck of dust)				
1220	1220	beat /	捶打	thump	beat / thump				
1221	1221	jab / poke /	戳	stab	jab / poke / stab				
1222	1222	pierce	戳破(被~)	through	pierce through				
1223	1223	hurt by	刺痛	stinging	hurt by stinging				
1224	1224	urge / hurry / speed	催	up	urge / hurry / speed up				
1225	1225	twist (hemp fibers) between the	搓(~绳)	palms	twist (hemp fibers) between the palms				
1226	1226	wrong,	错(~了)	be	wrong, be				
1227	1227	promise /	答应	consent	promise / consent				
1228	1228	hit (a	打(~人)	person)	hit (a person) (with a fist)||hit (a person)	hit (a person) (with a fist) (note:+with_fist)	打(~人) ((用拳头)~)		
1229	1229	gesticulate	打手势	gesticulate	gesticulate				
1230	1230	hunt	打猎	hunt	hunt			1435	HUNT
1231	1231	fire (a	打枪	shot)	fire (a shot)				
1232	1232	hit, have (the	打中	target)	hit, have (the target)				
1233	1233	war, go to / battle	打仗	v	war, go to / battle				
1234	1234	fight ('mutually hit') (note:"hit-each-other")	打架 ("互相打")	v.	fight||fight ('mutually hit')	fight v.	打架	1423	FIGHT
1235	1235	break up / scatter	打散(队伍~)	v.	break up / scatter				
1236	1236	separated accidentally and lose contact with, get	失散	v.	separated accidentally and lose contact with, get				
1237	1237	overthrow / down with (traitors) (note:+overthrow (knock_over +traitor))	打倒 (~(叛徒))	v.	overthrow / down with (traitors)||overthrow / down with	overthrow / down with v.	打倒		
1238	1238	fetch / draw (water)	打(水)	v.	fetch / draw (water)				
1239	1239	gather (firewood)	打(柴)	v.	chop (firewood)||gather (firewood)	chop (firewood) (note:chop +firewood) v.	打(柴) (砍(柴))		
1240	1240	bet	打赌	v.	bet				
1241	1241	thresh grain (lit. 'hit chain cangue') (note:"use-flails")	打场 ("打链枷")	v.	thresh grain (lit. 'hit chain cangue')||thresh grain	thresh grain v.	打场		
1242	1242	doze / nod off	打瞌睡	v.	doze / nod off				
1243	1243	yawn	打哈欠	v.	yawn				
1244	1244	hiccup	打嗝儿(呃逆)	v.	hiccup				
1245	1245	belch	打饱嗝儿	v.	belch				
1246	1246	open (door, lock) (note:unlock)	打开 (~(门,锁))	v.	open (chest, trunk)||open||open (door, lock)	open v.||open (chest, trunk) (note:+trunk) v.	打开||打开 (~(箱子))		
1247	1247	break (thunderbolt)	大霹雳	v.	break (thunderbolt)				
1248	1248	thunder	打雷	v.	thunder				
1249	1249	carry (money) on one	带(~钱)	v.	carry (money) on one				
1250	1250	bring up (children)	带(~孩子)	v.	bring up (children)				
1251	1251	lead (the way) / guide (lit. 'lead head') (note:"pioneer")	带(~路) ("带头")	v.	lead (the way) / guide (lit. 'lead head')||lead (the way) / guide	lead (the way) / guide v.	带(~路)		
1252	1252	wear (a hat)	戴(~帽子)	v.	wear (a hat)				
