	NUMBER	GLOSS	Huang_Chinese	English_Macy_edit	English	Huang_STEDT_English	English_by_concepticon	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note
282	Chen-2013-888-283	酒		alcoholic beverages				404	ALCOHOL (FERMENTED DRINK)	2	
283	Chen-2013-888-284	茶	茶	tea	tea	tea	tea	1373	TEA	2	
284	Chen-2013-888-285	茶叶		tea leaf							add tea leaf
285	Chen-2013-888-286	甜酒		liqueur				842	LIQUOR		
286	Chen-2013-888-287	开水		water (boiled)	water (boiled)	water (boiled)					
287	Chen-2013-888-288	药	药	medicine	medicine	medicine	medicine	1372	MEDICINE	2	
288	Chen-2013-888-289	糠		chaff / bran	chaff / bran	chaff / bran||chaff / bran (wheat)||chaff / bran (highland barley)		2363	CHAFF (HUSK)	2	
289	Chen-2013-888-290	棉花	棉花	cotton	cotton	cotton	cotton	1850	COTTON	2	
290	Chen-2013-888-291	纱		yarn							add muslin
291	Chen-2013-888-292	布	氆氇	cloth	cloth	cloth	cloth (Tibetan, woollen)	1616	CLOTH	2	
292	Chen-2013-888-293	衣	衣服	clothing / garment			clothing / garment	1895	CLOTHES		
293	Chen-2013-888-294	棉衣		cotton clothes							
294	Chen-2013-888-295	衣领	衣领	collar	collar	collar	collar	2012	COLLAR		
295	Chen-2013-888-296	袖子	衣袖	sleeve			sleeve	2953	SLEEVE	2	
296	Chen-2013-888-297	扣子	扣子	button	button	pants / trousers||button	button	757	BUTTON		
297	Chen-2013-888-298	衣袋		cloth pocket				1851	POCKET		
298	Chen-2013-888-299	裤子	裤子 (男裤)	pants			pants / trousers (female's) (note:+male)	809	TROUSERS	2	
299	Chen-2013-888-300	裙子		skirt				1600	SKIRT	2	
300	Chen-2013-888-301	头巾		headscarf				3066	SCARF OR TURBAN	2	
301	Chen-2013-888-302	帽子	帽子 (男帽)	hat			hat (men's) (note:+male)	771	HAT	2	
302	Chen-2013-888-303	裹腿布									
303	Chen-2013-888-304	鞋	鞋	shoe	shoe	shoe	shoe	1381	SHOE	2	
304	Chen-2013-888-305	草鞋						2047	STRAW SANDAL	2	
305	Chen-2013-888-306	袜子	袜子	sock / stocking	sock / stocking	sock / stocking	sock / stocking	1522	SOCK	2	
306	Chen-2013-888-307	蓑衣	蓑衣	cape (for rain, of straw or palm bark)	cape (for rain, of straw or palm bark)	cape (for rain, of straw or palm bark)	cape (for rain, of straw or palm bark)	1662	CAPE	2	
307	Chen-2013-888-308	斗笠		Asian conical hat				2160	BAMBOO HAT	2	
308	Chen-2013-888-309	被子		quilt				2048	QUILT	2	
309	Chen-2013-888-310	枕头	垫子	pad / cushion	pillow	pillow	pad / cushion	1044	PILLOW	2	
310	Chen-2013-888-311	席子	席子 (草~)	mat (woven bamboo) (note:+straw)			mat (woven bamboo) (note:+straw)	195	MAT	2	
311	Chen-2013-888-312	蚊帐		mosquito net				2795	MOSQUITO NET	2	
312	Chen-2013-888-313	棉絮									add batting
313	Chen-2013-888-314	房子	楼房	house	house	house	building	1252	HOUSE	2	
314	Chen-2013-888-315	瓦房		tile-roofed house							
315	Chen-2013-888-316	草房		thatched cottage							
316	Chen-2013-888-317	厨房	厨房	kitchen	kitchen	kitchen	kitchen	1365	KITCHEN	2	
317	Chen-2013-888-318	厕所		toilet				219	TOILET	2	
318	Chen-2013-888-319	仓库	淌(~泪)	warehouse / storehouse	warehouse / storehouse	warehouse / storehouse	shed (tears)	3025	BARN OR SHED	2	
319	Chen-2013-888-320	牛圈		shed (cow) / fence (ox)	shed (cow) / fence (ox)	shed (cow) / fence (ox)		2949	LAIR		
320	Chen-2013-888-321	门	门	door	door	door	door	1567	DOOR	2	
321	Chen-2013-888-322	砖	砖	brick	brick	brick	brick	1006	BRICK	2	
322	Chen-2013-888-323	瓦		tile	tile	shingle||tile					add tile
323	Chen-2013-888-324	墙	墙	wall (earthen, cob wall)	wall (earthen, cob wall)	wall (earthen, cob wall)||wall (stone)||wall	wall (earthen, cob wall)	933	WALL (OF HOUSE)	2	
324	Chen-2013-888-325	楼									
325	Chen-2013-888-326	窗子	窗子	window	window	window	window	1375	WINDOW	2	
326	Chen-2013-888-327	木头	木头	wood / log	wood / log	wood / log	wood / log	1803	WOOD	2	
327	Chen-2013-888-328	木板	木板 (小~)	plank / board (coffin) (note:+small)			plank / board (coffin) (note:+small)	1227	BOARD		
328	Chen-2013-888-329	柱子	柱子	pillar / column	pillar / column	pillar / column	pillar / column	2045	COLUMN	2	
329	Chen-2013-888-330	台阶	步(走一~)	step / stride	flight of steps	flight of steps	step / stride	1158	STEP		
330	Chen-2013-888-331	船	船 (木船)	boat / ship (wooden) (note:+wooden)			boat / ship (wooden) (note:+wooden)	1844	BOAT	2	
331	Chen-2013-888-332	车		car				1111	CAR		
332	Chen-2013-888-333	马鞍	马鞍	saddle	saddle	saddle	saddle	3065	SADDLE		
333	Chen-2013-888-334	鞭子	抽打	whip /			whip /	2630	WHIP	2	
334	Chen-2013-888-335	伞	"伞 (""布帽子"")"	"umbrella (lit. 'cloth hat') (note:""cloth hat"")"			"umbrella (lit. 'cloth hat') (note:""cloth hat"")"	3105	UMBRELLA		
335	Chen-2013-888-336	斧子	斧头	axe			axe	677	AXE		
336	Chen-2013-888-337	柴刀		chopper	chopper	chopper		2680	MACHETE		
337	Chen-2013-888-338	锤子	锤子	hammer	hammer	hammer||hammer (small)||hammer (big)	hammer	1481	HAMMER		
338	Chen-2013-888-339	凿子	凿	chisel / bore (a hole)			chisel / bore (a hole)	1979	CHISEL		
339	Chen-2013-888-340	锯子	锯	saw	saw	saw	saw	1948	SAW	2	
340	Chen-2013-888-341	锉子									
341	Chen-2013-888-342	锥子	锥子	awl	awl	awl	awl	278	AWL		
342	Chen-2013-888-343	刨子		plane (tool)	plane (tool)	plane (tool)					
343	Chen-2013-888-344	钳子									
344	Chen-2013-888-345	犁	犁	plow	plow	plow	plow	2154	PLOUGH (INSTRUMENT)	2	
345	Chen-2013-888-346	耙	耙	rake	rake	rake (iron-toothed)||rake (wooden)||rake	rake	338	RAKE	4	
346	Chen-2013-888-347	钉耙	耙	rake			rake	338	RAKE		
347	Chen-2013-888-348	锄头	锄头 (小锄)	hoe (pointed) (note:+small)			hoe (pointed) (note:+small)	284	HOE	2	
348	Chen-2013-888-349	扁担		pole (carrying / shoulder)	pole (carrying / shoulder)	pole (carrying / shoulder)					
349	Chen-2013-888-350	绳子	绳子	rope / string	rope / string	rope / string	rope / string	1218	ROPE	2	
350	Chen-2013-888-351	镰刀	镰刀	sickle	sickle	sickle||net	sickle	341	SICKLE	2	
351	Chen-2013-888-352	麻袋	包(一~东西)	parcel / sack (of things)			parcel / sack (of things)	2990	SACK		
352	Chen-2013-888-353	箩筐	背篓	basket carried on the back			basket carried on the back	1539	BASKET	2	
353	Chen-2013-888-354	织布机	织布机	loom	loom	loom	loom	1787	LOOM	2	
354	Chen-2013-888-355	纺车		Spinning wheel							
355	Chen-2013-888-356	弓	弓	bow (for arrow)	bow (for arrow)	bow (for arrow)	bow (for arrow)	994	BOW	2	
356	Chen-2013-888-357	箭	箭	arrow	arrow	arrow (poison, bamboo)||arrow||arrow (poison, with iron clusters)	arrow	977	ARROW	2	
357	Chen-2013-888-358	锍									
358	Chen-2013-888-359	火药	火药	gunpowder	gunpowder	gunpowder	gunpowder	1798	GUNPOWDER	2	
359	Chen-2013-888-360	风箱									add bellows
360	Chen-2013-888-361	网		net	net	net		2653	NET (FOR CATCHING)	4	
361	Chen-2013-888-362	囱		chiney				1305	CHIMNEY		
362	Chen-2013-888-363	石磨	磨(石~) (水~)	millstones (small mill) (note:water-mill)			millstones (small mill) (note:water-mill)	636	MILL		
363	Chen-2013-888-364	筛子	筛(~米)	sieve / sift			sieve / sift	86	SIEVE	2	
364	Chen-2013-888-365	簸箕		fan (winnowing)	fan (winnowing)	fan (winnowing)		2051	DUSTPAN	2	
365	Chen-2013-888-366	钩子	钩	hook			hook	1071	HOOK	2	
366	Chen-2013-888-367	床	床	bed	bed	bed||bed (without bedding)||bed (with bedding)	bed	1663	BED	2	
367	Chen-2013-888-368	桌子	桌子 ((青年语))	table 			table (word used by elderly) (note:younger{language})	1775	TABLE	2	
368	Chen-2013-888-369	椅子		chair				1476	CHAIR	2	
369	Chen-2013-888-370	凳子		stool / bench	stool / bench	stool / bench		2058	STOOL	2	
370	Chen-2013-888-371	箱子	盒子	chest / box / trunk	chest / box / trunk	chest / box / trunk	box / case	1465	BOX	2	
371	Chen-2013-888-372	柜子		cupboard / cabinet	cupboard / cabinet	cupboard / cabinet					add cabinet
372	Chen-2013-888-373	架子		shelf				745	SHELF		
373	Chen-2013-888-374	扫帚	扫帚	broom	broom	broom	broom	245	BROOM	2	
374	Chen-2013-888-375	刷子		brush				1821	BRUSH	2	
375	Chen-2013-888-376	柴	柴	firewood	firewood	firewood	firewood	10	FIREWOOD	2	
376	Chen-2013-888-377	灶	灶	stove (cooking) / range (kitchen)	stove (cooking) / range (kitchen)	wok (large, iron) / pan||stove (cooking) / range (kitchen)	stove (cooking) / range (kitchen)	859	STOVE	2	
377	Chen-2013-888-378	锅	炒菜锅	wok (frying)			wok (frying)	2056	WOK	2	
378	Chen-2013-888-379	甑子		rice steamer							
379	Chen-2013-888-380	菜刀		vegetable knife				2772	VEGETABLE KNIFE	2	
380	Chen-2013-888-381	碗	碗(一~饭)	bowl			bowl (of cooked rice)	1530	BOWL	2	
381	Chen-2013-888-382	筷子	筷子 ((青年语))	chopsticks			chopsticks (term used by old people) (note:younger{language})	1987	CHOPSTICKS	2	
382	Chen-2013-888-383	勺子	匙(调羹)	spoon			spoon	1378	SPOON	2	
383	Chen-2013-888-384	酒杯		wine glass							
384	Chen-2013-888-385	坛子		jar (earthen)	jar (earthen)	jar (earthen)					add jar
385	Chen-2013-888-386	水缸		water tank							
386	Chen-2013-888-387	水桶		bucket	bucket	bucket (for carrying water on back)||bucket (red copper)||bucket					
387	Chen-2013-888-388	罐子		pot / jar / tin	pot / jar / tin	pot / jar / tin (big)||bottle||pot / jar / tin (earthenware)||pot / jar / tin (water)||pot / jar / tin (copper)||pot / jar / tin		1051	CAN		
388	Chen-2013-888-389	水瓢									
389	Chen-2013-888-390	火钳	火钳	tongs (fire)	tongs (fire)	tongs (fire)	tongs (fire)	272	TONGS		
390	Chen-2013-888-391	吹火筒									
391	Chen-2013-888-392	篮子	背篓	basket carried on the back			basket carried on the back	1539	BASKET		
392	Chen-2013-888-393	背带						2973	STRAP		
393	Chen-2013-888-394	扇子						1971	FAN (OBJECT)	2	
394	Chen-2013-888-395	秤						2783	SCALES (MEASURE INSTRUMENT)	2	
395	Chen-2013-888-396	尺子		ruler (measure)	ruler (measure)	ruler (measure)					
396	Chen-2013-888-397	针	针	needle	needle	needle	needle	1382	NEEDLE (FOR SEWING)	2	
397	Chen-2013-888-398	剪刀	剪子	scissors			scissors	356	SHEARS	2	
398	Chen-2013-888-399	梯子	梯子	ladder	ladder	ladder	ladder	1464	LADDER	2	
399	Chen-2013-888-400	锁	锁(~门)	lock (the door)	lock	lock	lock (the door)	1596	LOCK	2	
400	Chen-2013-888-401	钥匙	钥匙	key	key	key	key	1472	KEY	2	
401	Chen-2013-888-402	灯	灯	light / lamp	light / lamp	light / lamp (pine torch)||light / lamp||light / lamp (butter)||light / lamp (oil)	light / lamp	625	LAMP	2	
402	Chen-2013-888-403	灯笼		lantern							
403	Chen-2013-888-404	镜子	镜子	mirror	mirror	mirror	mirror	1171	MIRROR	2	
404	Chen-2013-888-405	耳环	耳环 (大~)	earrings			earrings (small) (note:+large)	770	EARRING	2	
405	Chen-2013-888-406	手镯	手镯	bracelet	bracelet	bracelet	bracelet	1754	BRACELET	2	
406	Chen-2013-888-407	梳子	梳子	comb	comb	comb	comb	1475	COMB	2	
407	Chen-2013-888-408	棺材		coffin				2011	COFFIN	2	
408	Chen-2013-888-409	钱	"钱(货币) (""贝壳"")"	"money (lit. 'conch shell') (note:""shells"")"			"money (lit. 'conch shell') (note:""shells"")"	1559	MONEY	2	
409	Chen-2013-888-410	货物		goods / merchandise	goods / merchandise	goods / merchandise||interest (financial)		1082	MERCHANT 		
410	Chen-2013-888-411	鼓	鼓 (小手~)	drum (big) (note:+small)			drum (big) (note:+small)	908	DRUM	2	
411	Chen-2013-888-412	锣	锣	gong	gong	gong	gong	2502	GONG	2	
412	Chen-2013-888-413	钟	铃 ((庙里挂的)~)	chime	chime	chime	bell (small) (note:+temple)	2246	BELL	2	
413	Chen-2013-888-414	喇叭						775	TRUMPET		
414	Chen-2013-888-415	香	香(气味~)	fragrant			fragrant	376	FRAGRANT	2	
415	Chen-2013-888-416	蜡烛						1273	CANDLE	2	
416	Chen-2013-888-417	话	话	speech / words	speech / words	speech / words	speech / words	1115	SPEECH	2	
417	Chen-2013-888-418	歌	歌 (山~)	song (folk, sung in fields during or after work)			song (folk, sung in fields during or after work)	1096	SONG	2	
418	Chen-2013-888-419	故事	层(两~楼)	story (of building)	story	story	story (of building)	2060	STORY	2	
419	Chen-2013-888-420	谜语	谜语	riddle	riddle	riddle	riddle	2970	RIDDLE		
420	Chen-2013-888-421	笔	笔 (竹~)	pen (writing instrument) (brush) (note:+bamboo)			pen (writing instrument) (brush) (note:+bamboo)	794	PEN	2	
421	Chen-2013-888-422	书	书 ((藏式长条)~)	book (Tibetan style long strips) (note:+Tibetan_scroll)			book (Tibetan style long strips) (note:+Tibetan_scroll)	963	BOOK	2	
422	Chen-2013-888-423	纸	纸	paper	paper	paper	paper	648	PAPER	2	
423	Chen-2013-888-424	信	信	letter	letter	letter	letter	1612	LETTER	2	
424	Chen-2013-888-425	球		ball				1845	BALL	2	
425	Chen-2013-888-426	旗子		flag				2623	FLAG	2	
426	Chen-2013-888-427	牌		card				2619	CARD		
427	Chen-2013-888-428	一	亩(一~)	one	one	one	hectare, 1 / 15 of	1493	ONE	2	
428	Chen-2013-888-429	二	二	two	two	two	two	1498	TWO	2	
429	Chen-2013-888-430	三	三	three	three	three	three	492	THREE	2	
430	Chen-2013-888-431	四	四	four	four	four	four	1500	FOUR	2	
431	Chen-2013-888-432	五	五	five	five	five	five	493	FIVE	2	
432	Chen-2013-888-433	六	六	six	six	six	six	1703	SIX	2	
433	Chen-2013-888-434	七	七	seven	seven	seven	seven	1704	SEVEN	2	
434	Chen-2013-888-435	八	八	eight	eight	eight	eight	1705	EIGHT	2	
435	Chen-2013-888-436	九	九	nine	nine	nine	nine	1483	NINE	2	
436	Chen-2013-888-437	十	十	ten	ten	ten	ten	1515	TEN	2	
437	Chen-2013-888-438	十一	十一	eleven	eleven	eleven	eleven	1706	ELEVEN	2	
438	Chen-2013-888-439	十二	十二	twelve	twelve	twelve	twelve	1707	TWELVE	2	
439	Chen-2013-888-440	十三	十三	thirteen	thirteen	thirteen	thirteen	1708	THIRTEEN	2	
440	Chen-2013-888-441	十四	十四	fourteen	fourteen	fourteen	fourteen	2451	FOURTEEN	2	
441	Chen-2013-888-442	十五	十五	fifteen	fifteen	fifteen	fifteen	1709	FIFTEEN	2	
442	Chen-2013-888-443	十六	十六	sixteen	sixteen	sixteen	sixteen	2454	SIXTEEN	2	
443	Chen-2013-888-444	十	十	ten	ten	ten	ten	1515	TEN	2	
444	Chen-2013-888-445	十七	十七	seventeen	seventeen	seventeen	seventeen	2453	SEVENTEEN	2	
445	Chen-2013-888-446	十	十	ten	ten	ten	ten	1515	TEN	2	
446	Chen-2013-888-447	十八	十八	eighteen	eighteen	eighteen	eighteen	1713	EIGHTEEN	2	
447	Chen-2013-888-448	十九	十九	nineteen	nineteen	nineteen	nineteen	1714	NINETEEN	2	
448	Chen-2013-888-449	二十	二十	twenty	twenty	twenty	twenty	1710	TWENTY	2	
449	Chen-2013-888-450	三十	三十	thirty	thirty	thirty	thirty	1715	THIRTY	2	
450	Chen-2013-888-451	百	百	hundred	hundred	hundred	hundred	1634	HUNDRED	2	
451	Chen-2013-888-452	位（客）	个(一~人)	classifier for people			classifier for people	516	PERSON (CLASSIFIER)	4	
452	Chen-2013-888-453	个（蛋）		classifier for egg						4	
453	Chen-2013-888-454	只（鸡）	只(两~鸟)	classifier for chicken/birds			classifier for two birds	2081	CHICKEN (CLASSIFIER)	2	
454	Chen-2013-888-455	条（河）	条(一~绳子)	classifier for river/rope			classifier for rope	2084	ROPE (CLASSIFIER)	4	
455	Chen-2013-888-456	棵（树）	棵(一~树)	classifier for trees			classifier for trees	2721	TREE (CLASSIFIER)	4	
456	Chen-2013-888-457	根（棍）	"根(一~棍子) ((用于修饰""大棍子""))"	classifier for sticks (big) (note:+long)			classifier for sticks (big) (note:+long)	2085	STICK (CLASSIFIER)	2	
457	Chen-2013-888-458	块		classifier for clump shape objects				594	PIECE		
458	Chen-2013-888-459	双	双(一~鞋)	pair (of shoes)			pair (of shoes)	2089	PAIR (CLASSIFIER)	2	
459	Chen-2013-888-460	层		layer							
460	Chen-2013-888-461	件	件(一~衣)	classifier for garments			classifier for garments	2088	CLOTHING (CLASSIFIER)	4	
461	Chen-2013-888-462	句		classifier for sentences							
462	Chen-2013-888-463	首		head or classifier for poems/songs 							
463	Chen-2013-888-464	斤		unit of weights, 1 unit is about 500 grams				2647	CATTY (MASS UNIT)	2	
464	Chen-2013-888-465	两		unit of weights, 1 unit is about 50 grams							
465	Chen-2013-888-466	丈		unit of length (large)							
466	Chen-2013-888-467	尺	尺(一~)	unit of length (small)			foot (=1 / 3 meter)	2782	FOOT (MEASURE)	2	
467	Chen-2013-888-468	元	远				far / distant	1406	FAR	2	
468	Chen-2013-888-469	年	年	year	year	year	year	1226	YEAR	2	
469	Chen-2013-888-470	月	月	month	month	month	month	1370	MONTH	2	
470	Chen-2013-888-471	天	白天	day (time)	sky	sky	day (time)	1225	DAY (NOT NIGHT)	2	
471	Chen-2013-888-472	岁	年纪	age			age	1789	AGE	2	
472	Chen-2013-888-473	每天		every day	every day	every day					
473	Chen-2013-888-474	前面	前(~边)	front			front	2194	FRONT (PART)	2	
474	Chen-2013-888-475	后面		back( the opposite of front)				1686	BEHIND	2	
475	Chen-2013-888-476	左边	左边	left	left	left	left	244	LEFT	2	
476	Chen-2013-888-477	右边	右边	right	right	right	right	1019	RIGHT	2	
477	Chen-2013-888-478	上边		up				57	ATOP		
478	Chen-2013-888-479	下边	以下	below / under			below / under	1485	BELOW OR UNDER		
479	Chen-2013-888-480	里边	里(~边) ((房屋)~)	inside (the sea, a well) (note:+building)			inside (the sea, a well) (note:+building)	1606	INSIDE	2	
480	Chen-2013-888-481	外边	外(~边)	outside			outside	762	OUTSIDE	2	
481	Chen-2013-888-482	中间	中间	middle	middle	middle	middle	1093	MIDDLE	2	
482	Chen-2013-888-483	旁边	旁边	side	side	side	side	682	SIDE	2	
483	Chen-2013-888-484	今天	今天	today	today	today	today	1283	TODAY	2	
484	Chen-2013-888-485	明天	明天	tomorrow	tomorrow	tomorrow	tomorrow	1329	TOMORROW	2	
485	Chen-2013-888-486	昨天	昨天	yesterday	yesterday	yesterday	yesterday	1174	YESTERDAY	2	
486	Chen-2013-888-487	后天	后天	day after tomorrow	day after tomorrow	day after tomorrow	day after tomorrow	1179	DAY AFTER TOMORROW	2	
487	Chen-2013-888-488	上午		forenoon				2775	FORENOON	2	
488	Chen-2013-888-489	中午	中午	noon	noon	noon	noon	12	MIDDAY	2	
489	Chen-2013-888-490	下午		afternoon				1807	AFTERNOON	2	
490	Chen-2013-888-491	早晨	早晨	morning	morning	morning	morning	1339	MORNING	2	
491	Chen-2013-888-492	晚上	晚上	night, at / evening, in the	night, at / evening, in the	night, at / evening, in the	night, at / evening, in the	1629	EVENING	2	
492	Chen-2013-888-493	半夜	夜里	midnight	midnight	midnight	night, at	1233	NIGHT		
493	Chen-2013-888-494	初一		day (first of lunar month)	day (first of lunar month)	day (first of lunar month)					
494	Chen-2013-888-495	初二		day (second of lunar month)	day (second of lunar month)	day (second of lunar month)					
495	Chen-2013-888-496	初三		day (third of lunar month)							
496	Chen-2013-888-497	正月	一月 (正月(过年的月份))	January (year in which New Year is celebrated)			January (year in which New Year is celebrated)	2036	JANUARY	2	
497	Chen-2013-888-498	二月	"二月 (""第二个月"")"	"February (lit. 'second month') (note:""the second month"")"			"February (lit. 'second month') (note:""the second month"")"	2037	FEBRUARY	2	
498	Chen-2013-888-499	三月		March				2846	MARCH	2	
499	Chen-2013-888-500	四月		April				2847	APRIL	2	
500	Chen-2013-888-501	五月		May				2848	MAY (MONTH)	2	
501	Chen-2013-888-502	六月		June				2849	JUNE	2	
502	Chen-2013-888-503	七月		July				2850	JULY	2	
503	Chen-2013-888-504	八月		August				2851	AUGUST	2	
504	Chen-2013-888-505	九月		September				2852	SEPTEMBER	2	
505	Chen-2013-888-506	十月		October				2853	OCTOBER	2	
506	Chen-2013-888-507	十一月		November				2854	NOVEMBER	2	
507	Chen-2013-888-508	十二月		December				2855	DECEMBER	2	
508	Chen-2013-888-509	今年	今年	this year	this year	this year	this year	513	THIS YEAR	2	
509	Chen-2013-888-510	去年	去年	last year	last year	last year	last year	514	LAST YEAR	2	
510	Chen-2013-888-511	明年	明年	next year	next year	next year	next year	515	NEXT YEAR	2	
511	Chen-2013-888-512	现在	现在	present, the (time)	present, the (time)	present, the (time)	present, the (time)	1376	NOW	2	
512	Chen-2013-888-513	将来	将来 ((指近期))	future (near) (note:+proximal)			future (near) (note:+proximal)	2427	FUTURE		
513	Chen-2013-888-514	从前	从前	past, in the	past, in the	past, in the	past, in the	2914	ONCE (IN THE PAST)	2	
514	Chen-2013-888-515	我	我	I	I	I	I	1209	I	2	
515	Chen-2013-888-516	我们	我们	we	we	we	we	1212	WE	2	
516	Chen-2013-888-517	你	你	you	you	you	you	1215	THOU	2	
517	Chen-2013-888-518	你们	你们	you (pl.)	you (pl.)	you (pl.)	you (pl.)	1213	YOU	2	
518	Chen-2013-888-519	他	他	he	he	he	he	1211	HE	2	
519	Chen-2013-888-520	他们	他们	they	they	they	they	817	THEY	2	
520	Chen-2013-888-521	大家	一切	we all	we all	we all	all / everything	98	ALL	2	
521	Chen-2013-888-522	自己		self				1993	SELF	2	
522	Chen-2013-888-523	别人	其他	other person(s)	other person(s)	other persons||other person(s)||other person(s) (lit. 'person home')	others / miscellaneous	2422	SOMEONE	2	
523	Chen-2013-888-524	这	这样	thus / this (way) / (like) this	this	this	thus / this (way) / (like) this	1214	THIS	2	
524	Chen-2013-888-525	那	那(远指)	that (over yonder)			that (over yonder)	78	THAT	2	
525	Chen-2013-888-526	什么	什么	what	what	what	what	1236	WHAT	2	
526	Chen-2013-888-527	哪个		which				727	WHICH		
527	Chen-2013-888-528	哪里	哪里	where	where	where	where	1237	WHERE	2	
528	Chen-2013-888-529	大	大	big / large	big / large	big / large	big / large	1202	BIG	2	
529	Chen-2013-888-530	小	小	small	small	small	small	1246	SMALL	2	
530	Chen-2013-888-531	高		tall/high				1265	HIGH	2	
531	Chen-2013-888-532	矮、低		short/low				721	LOW		
532	Chen-2013-888-533	长	长	long	long	long	long	1203	LONG	2	
533	Chen-2013-888-534	短	短	short	short	short	short	1645	SHORT	2	
534	Chen-2013-888-535	远	远	far / distant	far / distant	far / distant	far / distant	1406	FAR	2	
535	Chen-2013-888-536	近	接近	near	near	near	near / close	1942	NEAR	2	
536	Chen-2013-888-537	宽		wide				1243	WIDE	2	
537	Chen-2013-888-538	窄	窄	narrow	narrow	narrow	narrow	1267	NARROW	2	
538	Chen-2013-888-539	厚	厚	thick	thick	thick	thick	1244	THICK	2	
539	Chen-2013-888-540	薄		thin	thin	thin		2306	THIN (OF LEAF AND CLOTH)	2	
540	Chen-2013-888-541	深	深	deep	deep	deep	deep	1593	DEEP	2	
541	Chen-2013-888-542	浅	浅	shallow	shallow	shallow	shallow	193	SHALLOW	2	
542	Chen-2013-888-543	满	满(~了)	full, be / filled up	full	full	full, be / filled up	1429	FULL	2	
543	Chen-2013-888-544	空	空	empty	empty	empty	empty	1624	EMPTY	2	
544	Chen-2013-888-545	多	多	many / much	many / much	many / much	many / much	1198	MANY	2	
545	Chen-2013-888-546	少	几个	few / little	few / little	few / little	several / few, a	1242	FEW	2	
546	Chen-2013-888-547	方		square				2757	ANGULAR (SQUAREFORMED)	2	
547	Chen-2013-888-548	圆	圆 ((圆筒形))	circle / circular (planar)			circle / circular (planar)	1395	ROUND	2	
548	Chen-2013-888-549	扁	平	flat / shallow	flat / shallow	flat / shallow	level / flat	1633	FLAT		
549	Chen-2013-888-550	尖	锋利	pointed	pointed	pointed	sharp	1396	SHARP	2	
550	Chen-2013-888-551	平	平	level / flat	level / flat	level / flat	level / flat	1633	FLAT	2	
551	Chen-2013-888-552	直	直(~的)	straight			straight	1404	STRAIGHT	2	
552	Chen-2013-888-553	横	横(~的)	horizontal			horizontal	2376	HORIZONTAL	2	
553	Chen-2013-888-554	弯	弄弯	curved, become / bent	curved, become / bent	bend at the waist||curved, become / bent	bend	2004	BEND	2	
554	Chen-2013-888-555	黑	黑 ((脸)~)	black (of faces)			black (of faces)	163	BLACK	2	
555	Chen-2013-888-556	白	白	white	white	white	white	1335	WHITE	2	
556	Chen-2013-888-557	红	红	red	red	red	red	156	RED	2	
557	Chen-2013-888-558	黄	黄	yellow	yellow	yellow	yellow	1424	YELLOW	2	
558	Chen-2013-888-559	绿	绿	green	green	green	green	1425	GREEN	2	
559	Chen-2013-888-560	蓝	蓝	blue	blue	blue||blue (lit. 'sky color')	blue	837	BLUE	2	
560	Chen-2013-888-561	亮	亮(~的)	birght			bright	679	BRIGHT	2	
561	Chen-2013-888-562	暗	暗	dark	dark	dark	dark	706	DARK	2	
562	Chen-2013-888-563	重	重	heavy	heavy	heavy	heavy	1210	HEAVY	2	
563	Chen-2013-888-564	轻	轻	light	light	light (weight)	light	1052	LIGHT (WEIGHT)	2	
564	Chen-2013-888-565	快	快	quick /	quick /	quick / fast||quick / fast (body movement)||quick / fast (speed)	quick /	1631	FAST	2	
565	Chen-2013-888-566	慢	慢 ((动作)~)	slow (body movement) (note:+manner {lit. of			slow (body movement) (note:+manner {lit. of	701	SLOW	2	
566	Chen-2013-888-567	早	早	early	early	early	early	672	EARLY	2	
567	Chen-2013-888-568	迟	耽误	late	late	late	hold up / delay	425	BE LATE	2	
568	Chen-2013-888-569	锋利	锋利	sharp	sharp	sharp	sharp	1396	SHARP	2	
569	Chen-2013-888-570	清						1147	PURE	4	
570	Chen-2013-888-571	稀（疏）						209	RARE	4	
571	Chen-2013-888-572	蜜（稠）		thick							
572	Chen-2013-888-573	浓	厚	dense			thick	1244	THICK		
573	Chen-2013-888-574	稠（浊）	稠(粥~)				thick	2239	DENSE	4	
574	Chen-2013-888-575	淡		light (taste)				2181	LIGHT (IN TASTE)	2	
575	Chen-2013-888-576	胖	胖	fat (obese)	fat	fat||fat (adult)||fat (infant)	fat	1279	FAT (OBESE)	2	
576	Chen-2013-888-577	痩	瘦	thin (lean, a body type)			thin	1400	THIN (SLIM)	4	
577	Chen-2013-888-578	干枯		dry							add withered
578	Chen-2013-888-579	湿	湿	wet	wet	wet	wet	1726	WET	2	
579	Chen-2013-888-580	硬	硬	hard	hard	hard	hard	1884	HARD	2	
580	Chen-2013-888-581	软	软	soft	soft	soft / spongy / loose||soft	soft	1856	SOFT	2	
581	Chen-2013-888-582	活	活(~了) ((人)~)	alive, become / active (people)			alive, become / active (people)	1422	BE ALIVE	2	
582	Chen-2013-888-583	死	死	die	die	die	die	1494	DIE	2	
583	Chen-2013-888-584	光	空	light	light	light	empty	1624	EMPTY		
584	Chen-2013-888-585	松	松	lax / loose /	lax / loose /	lax / loose / slack||lax / fluffy / puffy	lax / loose /	2506	LOOSE	4	
585	Chen-2013-888-586	紧	紧	tense / tight /	tense / tight /	tense / tight / taut	tense / tight /	3053	TIGHT	4	
